No,프로젝트번호,출도부서,과제번호,도면명,출도일자,출도번호,근원부서,원인코드,코드명
1,P1,D12,DPT4001,DNAME263,2023-11-06,DPT400120231106,,R14,RNAME10
2,P1,D12,DPT4002,DNAME268,2023-11-13,DPT400220231113,,R1,RNAME20
3,P1,D12,DPT4003,DNAME268,2023-11-13,DPT400320231113,,R1,RNAME20
4,P1,D12,DPT4004,DNAME268,2023-11-13,DPT400420231113,,R1,RNAME20
5,P1,D12,DPT3982,DNAME267,2023-11-13,DPT398220231113,,R1,RNAME20
6,P1,D239,,DNAME255,2023-11-15,,,R2,RNAME9
7,P1,D239,DPT3839,DNAME276,2023-11-19,DPT383920231119,,R10,RNAME11
8,P1,D12,DPT3925,DNAME237,2023-11-27,DPT392520231127,,R2,RNAME9
9,P1,D12,DPT4049,DNAME285,2023-11-29,DPT404920231129,,R2,RNAME9
10,P1,D348,DPT3351,DNAME321,2023-12-05,DPT335120231205,D348,R2,RNAME9
11,P1,D239,DPT3842,DNAME324,2023-12-06,DPT384220231206,,R5,RNAME8
12,P1,D239,DPT3842,DNAME318,2023-12-06,DPT384220231206,,R5,RNAME8
13,P1,D236,DPT1872,DNAME327,2023-12-10,DPT187220231210,,R5,RNAME8
14,P1,D236,DPT1873,DNAME327,2023-12-10,DPT187320231210,,R5,RNAME8
15,P1,D12,DPT3940,DNAME232,2023-12-11,DPT394020231211,,R2,RNAME9
16,P1,D12,DPT3947,DNAME246,2023-12-11,DPT394720231211,,R2,RNAME9
17,P1,D348,DPT4287,DNAME28,2023-12-11,DPT428720231211,D348,R4,RNAME17
18,P1,D348,DPT4287,DNAME28,2023-12-11,DPT428720231211,D348,R4,RNAME17
19,P1,D240,DPT4001,DNAME263,2023-12-18,DPT400120231218,,R2,RNAME9
20,P1,D240,DPT4006,DNAME263,2023-12-18,DPT400620231218,,R2,RNAME9
21,P1,D12,DPT3862,DNAME199,2023-12-18,DPT386220231218,,R13,RNAME7
22,P1,D236,DPT2867,DNAME338,2023-12-21,DPT286720231221,,R14,RNAME10
23,P1,D236,DPT2868,DNAME338,2023-12-21,DPT286820231221,,R14,RNAME10
24,P1,D236,DPT2869,DNAME338,2023-12-21,DPT286920231221,,R14,RNAME10
25,P1,D12,DPT3951,DNAME253,2023-12-23,DPT395120231223,,R14,RNAME10
26,P1,D12,DPT4021,DNAME275,2023-12-23,DPT402120231223,,R14,RNAME10
27,P1,D348,DPT3348,DNAME321,2023-12-24,DPT334820231224,D348,R5,RNAME8
28,P1,D348,DPT3349,DNAME321,2023-12-24,DPT334920231224,D348,R5,RNAME8
29,P1,D348,DPT3350,DNAME321,2023-12-24,DPT335020231224,D348,R5,RNAME8
30,P1,D240,DPT3937,DNAME226,2023-12-25,DPT393720231225,,R14,RNAME10
31,P1,D240,DPT3944,DNAME232,2023-12-25,DPT394420231225,,R14,RNAME10
32,P1,D240,DPT3949,DNAME246,2023-12-25,DPT394920231225,,R14,RNAME10
33,P1,D236,DPT1905,DNAME339,2023-12-25,DPT190520231225,,R3,RNAME4
34,P1,D236,DPT1906,DNAME339,2023-12-25,DPT190620231225,,R3,RNAME4
35,P1,D236,DPT2866,DNAME338,2023-12-25,DPT286620231225,,R3,RNAME4
36,P1,D240,DPT3913,DNAME239,2024-01-01,DPT391320240101,,R14,RNAME10
37,P1,D12,DPT4020,DNAME275,2024-01-02,DPT402020240102,,R14,RNAME10
38,P1,D240,DPT3929,DNAME239,2024-01-06,DPT392920240106,,R14,RNAME10
39,P1,D240,DPT3930,DNAME239,2024-01-06,DPT393020240106,,R14,RNAME10
40,P1,D240,DPT3931,DNAME239,2024-01-06,DPT393120240106,,R14,RNAME10
41,P1,D240,DPT3932,DNAME239,2024-01-06,DPT393220240106,,R14,RNAME10
42,P1,D240,DPT3933,DNAME239,2024-01-06,DPT393320240106,,R14,RNAME10
43,P1,D239,DPT3843,DNAME335,2024-01-13,DPT384320240113,,R5,RNAME8
44,P1,D239,DPT3834,DNAME208,2024-01-13,DPT383420240113,,R5,RNAME8
45,P1,D348,DPT3133,DNAME38,2024-01-13,DPT313320240113,D348,R3,RNAME4
46,P1,D348,DPT3567,DNAME421,2024-01-17,DPT356720240117,D348,R1,RNAME20
47,P1,D348,DPT3572,DNAME427,2024-01-17,DPT357220240117,D348,R1,RNAME20
48,P1,D348,DPT3178,DNAME77,2024-01-17,DPT317820240117,D348,R2,RNAME9
49,P1,D348,DPT3199,DNAME81,2024-01-17,DPT319920240117,D348,R1,RNAME20
50,P1,D348,DPT3204,DNAME84,2024-01-17,DPT320420240117,D348,R1,RNAME20
51,P1,D348,DPT3623,DNAME496,2024-01-17,DPT362320240117,D348,R1,RNAME20
52,P1,D348,DPT3625,DNAME498,2024-01-17,DPT362520240117,D348,R1,RNAME20
53,P1,D12,DPT1657,DNAME230,2024-01-22,DPT165720240122,,R5,RNAME8
54,P1,D348,DPT3122,DNAME18,2024-01-28,DPT312220240128,D348,R3,RNAME4
55,P1,D239,DPT3838,DNAME255,2024-01-29,DPT383820240129,,R14,RNAME10
56,P1,D236,DPT3333,DNAME247,2024-01-30,DPT333320240130,,R2,RNAME9
57,P1,D12,DPT3941,DNAME232,2024-02-03,DPT394120240203,,R14,RNAME10
58,P1,D12,DPT3935,DNAME226,2024-02-03,DPT393520240203,,R14,RNAME10
59,P1,D12,DPT3920,DNAME239,2024-02-03,DPT392020240203,,R14,RNAME10
