No,프로젝트번호,출도부서,과제번호,도면명,출도일자,출도번호,근원부서,원인코드,코드명
1,P2,D224,DPT3841,DNAME1064,2020-10-20,DPT384120201020,D348,R1,RNAME20
2,P2,D224,DPT3844,DNAME1124,2020-10-20,DPT384420201020,,R1,RNAME20
3,P2,D279,DPT2881,DNAME1152,2020-10-23,DPT288120201023,,R7,RNAME12
4,P2,D279,DPT2882,DNAME1152,2020-10-23,DPT288220201023,,R7,RNAME12
5,P2,D74,DPT3378,DNAME699,2020-10-28,DPT337820201028,D344,R2,RNAME9
6,P2,D74,DPT3378,DNAME701,2020-10-28,DPT337820201028,D344,R2,RNAME9
7,P2,D74,DPT3378,DNAME704,2020-10-28,DPT337820201028,D344,R2,RNAME9
8,P2,D74,DPT3378,DNAME708,2020-10-28,DPT337820201028,D344,R2,RNAME9
9,P2,D74,DPT3378,DNAME709,2020-10-28,DPT337820201028,D344,R2,RNAME9
10,P2,D74,DPT3378,DNAME711,2020-10-28,DPT337820201028,D344,R2,RNAME9
11,P2,D74,DPT3378,DNAME713,2020-10-28,DPT337820201028,D344,R2,RNAME9
12,P2,D74,DPT3378,DNAME720,2020-10-28,DPT337820201028,D344,R2,RNAME9
13,P2,D74,DPT3378,DNAME723,2020-10-28,DPT337820201028,D344,R2,RNAME9
14,P2,D74,DPT3378,DNAME725,2020-10-28,DPT337820201028,D344,R2,RNAME9
15,P2,D74,DPT3378,DNAME739,2020-10-28,DPT337820201028,D344,R2,RNAME9
16,P2,D74,DPT3378,DNAME759,2020-10-28,DPT337820201028,D344,R2,RNAME9
17,P2,D74,DPT3378,DNAME772,2020-10-28,DPT337820201028,D344,R2,RNAME9
18,P2,D74,DPT3378,DNAME785,2020-10-28,DPT337820201028,D344,R2,RNAME9
19,P2,D74,DPT3378,DNAME801,2020-10-28,DPT337820201028,D344,R2,RNAME9
20,P2,D74,DPT3378,DNAME821,2020-10-28,DPT337820201028,D344,R2,RNAME9
21,P2,D74,DPT3378,DNAME1160,2020-10-28,DPT337820201028,D344,R2,RNAME9
22,P2,D74,DPT3378,DNAME1163,2020-10-28,DPT337820201028,D344,R2,RNAME9
23,P2,D74,DPT3378,DNAME1166,2020-10-28,DPT337820201028,D344,R2,RNAME9
24,P2,D74,DPT3378,DNAME1168,2020-10-28,DPT337820201028,D344,R2,RNAME9
25,P2,D74,DPT3378,DNAME1171,2020-10-28,DPT337820201028,D344,R2,RNAME9
26,P2,D74,DPT3378,DNAME1175,2020-10-28,DPT337820201028,D344,R2,RNAME9
27,P2,D74,DPT3378,DNAME1174,2020-10-28,DPT337820201028,D344,R2,RNAME9
28,P2,D74,DPT3378,DNAME1176,2020-10-28,DPT337820201028,D344,R2,RNAME9
29,P2,D74,DPT3378,DNAME1177,2020-10-28,DPT337820201028,D344,R2,RNAME9
30,P2,D74,DPT3378,DNAME1178,2020-10-28,DPT337820201028,D344,R2,RNAME9
31,P2,D74,DPT3378,DNAME1182,2020-10-28,DPT337820201028,D344,R2,RNAME9
32,P2,D74,DPT3378,DNAME1183,2020-10-28,DPT337820201028,D344,R2,RNAME9
33,P2,D74,DPT3378,DNAME1310,2020-10-28,DPT337820201028,D344,R2,RNAME9
34,P2,D74,DPT3378,DNAME1311,2020-10-28,DPT337820201028,D344,R2,RNAME9
35,P2,D74,DPT3378,DNAME1312,2020-10-28,DPT337820201028,D344,R2,RNAME9
36,P2,D74,DPT3378,DNAME1314,2020-10-28,DPT337820201028,D344,R2,RNAME9
37,P2,D74,DPT3378,DNAME1316,2020-10-28,DPT337820201028,D344,R2,RNAME9
38,P2,D74,DPT3378,DNAME1317,2020-10-28,DPT337820201028,D344,R2,RNAME9
39,P2,D74,DPT3378,DNAME1318,2020-10-28,DPT337820201028,D344,R2,RNAME9
40,P2,D74,DPT3378,DNAME1319,2020-10-28,DPT337820201028,D344,R2,RNAME9
41,P2,D224,DPT3838,DNAME970,2020-11-03,DPT383820201103,D239,R5,RNAME8
42,P2,D233,DPT3409,DNAME607,2020-11-05,DPT340920201105,D348,R14,RNAME10
43,P2,D233,DPT3409,DNAME837,2020-11-05,DPT340920201105,D348,R14,RNAME10
44,P2,D233,DPT3412,DNAME837,2020-11-05,DPT341220201105,D348,R14,RNAME10
45,P2,D233,DPT3413,DNAME837,2020-11-05,DPT341320201105,D348,R14,RNAME10
46,P2,D233,DPT3415,DNAME837,2020-11-05,DPT341520201105,D348,R14,RNAME10
47,P2,D233,DPT3409,DNAME911,2020-11-05,DPT340920201105,D348,R14,RNAME10
48,P2,D233,DPT3409,DNAME959,2020-11-05,DPT340920201105,D348,R14,RNAME10
49,P2,D233,DPT3414,DNAME959,2020-11-05,DPT341420201105,D348,R14,RNAME10
50,P2,D233,DPT3409,DNAME965,2020-11-05,DPT340920201105,D348,R14,RNAME10
51,P2,D233,DPT3411,DNAME965,2020-11-05,DPT341120201105,D348,R14,RNAME10
52,P2,D233,DPT3413,DNAME965,2020-11-05,DPT341320201105,D348,R14,RNAME10
53,P2,D233,DPT3414,DNAME965,2020-11-05,DPT341420201105,D348,R14,RNAME10
54,P2,D233,DPT3415,DNAME965,2020-11-05,DPT341520201105,D348,R14,RNAME10
55,P2,D233,DPT3409,DNAME967,2020-11-05,DPT340920201105,D348,R14,RNAME10
56,P2,D233,DPT3413,DNAME967,2020-11-05,DPT341320201105,D348,R14,RNAME10
57,P2,D31,DPT3697,DNAME908,2020-11-10,DPT369720201110,,R2,RNAME9
58,P2,D31,DPT3697,DNAME908,2020-11-10,DPT369720201110,,R2,RNAME9
59,P2,D226,DPT4107,DNAME975,2020-11-10,DPT410720201110,,R5,RNAME8
60,P2,D226,DPT4107,DNAME998,2020-11-10,DPT410720201110,,R5,RNAME8
61,P2,D226,DPT4116,DNAME998,2020-11-10,DPT411620201110,,R5,RNAME8
62,P2,D339,DPT2848,DNAME1054,2020-11-12,DPT284820201112,D344,R2,RNAME9
63,P2,D339,DPT2849,DNAME1054,2020-11-12,DPT284920201112,D344,R2,RNAME9
64,P2,D229,DPT3406,DNAME747,2020-11-12,DPT340620201112,D239,R14,RNAME10
65,P2,D25,DPT2883,DNAME1154,2020-11-12,DPT288320201112,,R7,RNAME12
66,P2,D25,DPT2884,DNAME1154,2020-11-12,DPT288420201112,,R7,RNAME12
67,P2,D25,DPT2885,DNAME1154,2020-11-12,DPT288520201112,,R7,RNAME12
68,P2,D25,DPT2886,DNAME1155,2020-11-12,DPT288620201112,,R7,RNAME12
69,P2,D25,DPT2887,DNAME1155,2020-11-12,DPT288720201112,,R7,RNAME12
70,P2,D25,DPT2888,DNAME1155,2020-11-12,DPT288820201112,,R7,RNAME12
71,P2,D226,DPT4118,DNAME998,2020-11-13,DPT411820201113,,R14,RNAME10
72,P2,D341,DPT4097,DNAME1049,2020-11-16,DPT409720201116,,R14,RNAME10
73,P2,D341,DPT4119,DNAME1037,2020-11-16,DPT411920201116,,R14,RNAME10
74,P2,D341,DPT4119,DNAME582,2020-11-16,DPT411920201116,,R14,RNAME10
75,P2,D23,DPT4456,DNAME1111,2020-11-16,DPT445620201116,,R2,RNAME9
76,P2,D23,DPT4456,DNAME1111,2020-11-16,DPT445620201116,,R2,RNAME9
77,P2,D227,DPT3418,DNAME729,2020-11-17,DPT341820201117,D348,R5,RNAME8
78,P2,D25,DPT2881,DNAME1152,2020-11-17,DPT288120201117,,R7,RNAME12
79,P2,D25,DPT2882,DNAME1152,2020-11-17,DPT288220201117,,R7,RNAME12
80,P2,D26,DPT4305,DNAME718,2020-11-17,DPT430520201117,,R1,RNAME20
81,P2,D26,DPT4305,DNAME718,2020-11-17,DPT430520201117,,R1,RNAME20
82,P2,D224,DPT3836,DNAME866,2020-11-19,DPT383620201119,,R1,RNAME20
83,P2,D21,DPT3698,DNAME912,2020-11-20,DPT369820201120,,R1,RNAME20
84,P2,D227,DPT3427,DNAME1090,2020-11-20,DPT342720201120,D348,R1,RNAME20
85,P2,D227,DPT3427,DNAME1093,2020-11-20,DPT342720201120,D348,R1,RNAME20
86,P2,D348,DPT4117,DNAME981,2020-11-20,DPT411720201120,,R1,RNAME20
87,P2,D348,DPT4117,DNAME1005,2020-11-20,DPT411720201120,,R1,RNAME20
88,P2,D227,DPT3420,DNAME798,2020-11-23,DPT342020201123,D348,R1,RNAME20
89,P2,D227,DPT3420,DNAME811,2020-11-23,DPT342020201123,D348,R1,RNAME20
90,P2,D227,DPT3420,DNAME1291,2020-11-23,DPT342020201123,D348,R1,RNAME20
91,P2,D227,DPT3420,DNAME1298,2020-11-23,DPT342020201123,D348,R1,RNAME20
92,P2,D227,DPT3419,DNAME817,2020-11-23,DPT341920201123,D348,R1,RNAME20
93,P2,D227,DPT3419,DNAME828,2020-11-23,DPT341920201123,D348,R1,RNAME20
94,P2,D227,DPT3419,DNAME1303,2020-11-23,DPT341920201123,D348,R1,RNAME20
95,P2,D227,DPT3419,DNAME1306,2020-11-23,DPT341920201123,D348,R1,RNAME20
96,P2,D227,DPT3421,DNAME783,2020-11-23,DPT342120201123,D348,R1,RNAME20
97,P2,D227,DPT3421,DNAME795,2020-11-23,DPT342120201123,D348,R1,RNAME20
98,P2,D227,DPT3421,DNAME1281,2020-11-23,DPT342120201123,D348,R1,RNAME20
99,P2,D227,DPT3421,DNAME1286,2020-11-23,DPT342120201123,D348,R1,RNAME20
100,P2,D227,DPT3422,DNAME767,2020-11-23,DPT342220201123,D348,R1,RNAME20
101,P2,D227,DPT3422,DNAME782,2020-11-23,DPT342220201123,D348,R1,RNAME20
102,P2,D227,DPT3422,DNAME1273,2020-11-23,DPT342220201123,D348,R1,RNAME20
103,P2,D227,DPT3422,DNAME1277,2020-11-23,DPT342220201123,D348,R1,RNAME20
104,P2,D227,DPT3423,DNAME755,2020-11-23,DPT342320201123,D348,R1,RNAME20
105,P2,D227,DPT3423,DNAME764,2020-11-23,DPT342320201123,D348,R1,RNAME20
106,P2,D227,DPT3423,DNAME1264,2020-11-23,DPT342320201123,D348,R1,RNAME20
107,P2,D227,DPT3423,DNAME1268,2020-11-23,DPT342320201123,D348,R1,RNAME20
108,P2,D17,DPT4353,DNAME834,2020-11-23,DPT435320201123,,R3,RNAME4
109,P2,D227,DPT3427,DNAME740,2020-11-23,DPT342720201123,D348,R2,RNAME9
110,P2,D227,DPT3427,DNAME734,2020-11-23,DPT342720201123,D348,R2,RNAME9
111,P2,D227,DPT3427,DNAME741,2020-11-23,DPT342720201123,D348,R2,RNAME9
112,P2,D227,DPT3427,DNAME738,2020-11-23,DPT342720201123,D348,R2,RNAME9
113,P2,D227,DPT3427,DNAME760,2020-11-23,DPT342720201123,D348,R2,RNAME9
114,P2,D227,DPT3427,DNAME757,2020-11-23,DPT342720201123,D348,R2,RNAME9
115,P2,D227,DPT3427,DNAME761,2020-11-23,DPT342720201123,D348,R2,RNAME9
116,P2,D227,DPT3427,DNAME773,2020-11-23,DPT342720201123,D348,R2,RNAME9
117,P2,D227,DPT3427,DNAME769,2020-11-23,DPT342720201123,D348,R2,RNAME9
118,P2,D227,DPT3427,DNAME774,2020-11-23,DPT342720201123,D348,R2,RNAME9
119,P2,D227,DPT3427,DNAME771,2020-11-23,DPT342720201123,D348,R2,RNAME9
120,P2,D227,DPT3427,DNAME786,2020-11-23,DPT342720201123,D348,R2,RNAME9
121,P2,D227,DPT3427,DNAME784,2020-11-23,DPT342720201123,D348,R2,RNAME9
122,P2,D227,DPT3427,DNAME787,2020-11-23,DPT342720201123,D348,R2,RNAME9
123,P2,D227,DPT3427,DNAME802,2020-11-23,DPT342720201123,D348,R2,RNAME9
124,P2,D227,DPT3427,DNAME800,2020-11-23,DPT342720201123,D348,R2,RNAME9
125,P2,D227,DPT3427,DNAME803,2020-11-23,DPT342720201123,D348,R2,RNAME9
126,P2,D227,DPT3427,DNAME822,2020-11-23,DPT342720201123,D348,R2,RNAME9
127,P2,D227,DPT3427,DNAME819,2020-11-23,DPT342720201123,D348,R2,RNAME9
128,P2,D227,DPT3427,DNAME823,2020-11-23,DPT342720201123,D348,R2,RNAME9
129,P2,D227,DPT3427,DNAME1090,2020-11-23,DPT342720201123,D348,R2,RNAME9
130,P2,D227,DPT3427,DNAME1093,2020-11-23,DPT342720201123,D348,R2,RNAME9
131,P2,D227,DPT3427,DNAME1105,2020-11-23,DPT342720201123,D348,R2,RNAME9
132,P2,D227,DPT3427,DNAME1108,2020-11-23,DPT342720201123,D348,R2,RNAME9
133,P2,D227,DPT3427,DNAME1255,2020-11-23,DPT342720201123,D348,R2,RNAME9
134,P2,D227,DPT3427,DNAME1256,2020-11-23,DPT342720201123,D348,R2,RNAME9
135,P2,D227,DPT3427,DNAME1266,2020-11-23,DPT342720201123,D348,R2,RNAME9
136,P2,D227,DPT3427,DNAME1267,2020-11-23,DPT342720201123,D348,R2,RNAME9
137,P2,D227,DPT3427,DNAME1275,2020-11-23,DPT342720201123,D348,R2,RNAME9
138,P2,D227,DPT3427,DNAME1276,2020-11-23,DPT342720201123,D348,R2,RNAME9
139,P2,D227,DPT3427,DNAME1282,2020-11-23,DPT342720201123,D348,R2,RNAME9
140,P2,D227,DPT3427,DNAME1283,2020-11-23,DPT342720201123,D348,R2,RNAME9
141,P2,D227,DPT3427,DNAME1293,2020-11-23,DPT342720201123,D348,R2,RNAME9
142,P2,D227,DPT3427,DNAME1294,2020-11-23,DPT342720201123,D348,R2,RNAME9
143,P2,D227,DPT3427,DNAME1304,2020-11-23,DPT342720201123,D348,R2,RNAME9
144,P2,D227,DPT3427,DNAME1305,2020-11-23,DPT342720201123,D348,R2,RNAME9
145,P2,D336,DPT4361,DNAME855,2020-11-23,DPT436120201123,,R2,RNAME9
146,P2,D336,DPT4361,DNAME855,2020-11-23,DPT436120201123,,R2,RNAME9
147,P2,D336,DPT4361,DNAME855,2020-11-23,DPT436120201123,,R2,RNAME9
148,P2,D17,DPT4353,DNAME834,2020-11-23,DPT435320201123,,R3,RNAME4
149,P2,D227,DPT3431,DNAME612,2020-11-24,DPT343120201124,D348,R5,RNAME8
150,P2,D227,DPT3431,DNAME822,2020-11-24,DPT343120201124,D348,R5,RNAME8
151,P2,D227,DPT3431,DNAME823,2020-11-24,DPT343120201124,D348,R5,RNAME8
152,P2,D227,DPT3431,DNAME1320,2020-11-24,DPT343120201124,D348,R5,RNAME8
153,P2,D227,DPT3431,DNAME1321,2020-11-24,DPT343120201124,D348,R5,RNAME8
154,P2,D227,DPT3432,DNAME613,2020-11-24,DPT343220201124,D348,R5,RNAME8
155,P2,D227,DPT3432,DNAME773,2020-11-24,DPT343220201124,D348,R5,RNAME8
156,P2,D227,DPT3432,DNAME774,2020-11-24,DPT343220201124,D348,R5,RNAME8
157,P2,D227,DPT3432,DNAME1313,2020-11-24,DPT343220201124,D348,R5,RNAME8
158,P2,D227,DPT3432,DNAME1315,2020-11-24,DPT343220201124,D348,R5,RNAME8
159,P2,D296,DPT3718,DNAME1106,2020-11-25,DPT371820201125,,R7,RNAME12
160,P2,D296,DPT3718,DNAME1109,2020-11-25,DPT371820201125,,R7,RNAME12
161,P2,D296,DPT3721,DNAME1114,2020-11-25,DPT372120201125,,R7,RNAME12
162,P2,D296,DPT3722,DNAME1114,2020-11-25,DPT372220201125,,R7,RNAME12
163,P2,D296,DPT3723,DNAME1114,2020-11-25,DPT372320201125,,R7,RNAME12
164,P2,D296,DPT3721,DNAME1116,2020-11-25,DPT372120201125,,R7,RNAME12
165,P2,D296,DPT3722,DNAME1116,2020-11-25,DPT372220201125,,R7,RNAME12
166,P2,D296,DPT3723,DNAME1116,2020-11-25,DPT372320201125,,R7,RNAME12
167,P2,D226,DPT4103,DNAME995,2020-11-25,DPT410320201125,,R7,RNAME12
168,P2,D227,DPT3442,DNAME1135,2020-11-25,DPT344220201125,D348,R14,RNAME10
169,P2,D227,DPT3442,DNAME1126,2020-11-25,DPT344220201125,D348,R14,RNAME10
170,P2,D227,DPT3442,DNAME1129,2020-11-25,DPT344220201125,D348,R14,RNAME10
171,P2,D227,DPT3443,DNAME1135,2020-11-26,DPT344320201126,D348,R14,RNAME10
172,P2,D26,DPT4494,DNAME1179,2020-11-26,DPT449420201126,,R3,RNAME4
173,P2,D26,DPT4494,DNAME1179,2020-11-26,DPT449420201126,,R3,RNAME4
174,P2,D26,DPT4294,DNAME707,2020-11-26,DPT429420201126,,R1,RNAME20
175,P2,D26,DPT4294,DNAME707,2020-11-26,DPT429420201126,,R1,RNAME20
176,P2,D26,DPT4470,DNAME1150,2020-11-26,DPT447020201126,,R1,RNAME20
177,P2,D26,DPT4470,DNAME1150,2020-11-26,DPT447020201126,,R1,RNAME20
178,P2,D339,DPT1878,DNAME1082,2020-11-26,DPT187820201126,D344,R2,RNAME9
179,P2,D339,DPT1880,DNAME1082,2020-11-26,DPT188020201126,D344,R2,RNAME9
180,P2,D339,DPT1881,DNAME1082,2020-11-26,DPT188120201126,D344,R2,RNAME9
181,P2,D339,DPT1882,DNAME1082,2020-11-26,DPT188220201126,D344,R2,RNAME9
182,P2,D233,DPT3412,DNAME837,2020-11-27,DPT341220201127,D348,R14,RNAME10
183,P2,D233,DPT3434,DNAME837,2020-11-27,DPT343420201127,D348,R14,RNAME10
184,P2,D233,DPT3435,DNAME837,2020-11-27,DPT343520201127,D348,R14,RNAME10
185,P2,D233,DPT3436,DNAME837,2020-11-27,DPT343620201127,D348,R14,RNAME10
186,P2,D233,DPT3437,DNAME837,2020-11-27,DPT343720201127,D348,R14,RNAME10
187,P2,D224,DPT3840,DNAME1014,2020-11-27,DPT384020201127,,R2,RNAME9
188,P2,D78,DPT4124,DNAME921,2020-11-27,DPT412420201127,,R14,RNAME10
189,P2,D78,DPT4125,DNAME921,2020-11-27,DPT412520201127,,R14,RNAME10
190,P2,D336,DPT4369,DNAME876,2020-11-27,DPT436920201127,,R6,RNAME6
191,P2,D336,DPT4369,DNAME876,2020-11-27,DPT436920201127,,R6,RNAME6
192,P2,D226,DPT4126,DNAME999,2020-11-27,DPT412620201127,,R14,RNAME10
193,P2,D226,DPT4126,DNAME1006,2020-11-27,DPT412620201127,,R14,RNAME10
194,P2,D78,DPT4127,DNAME940,2020-11-30,DPT412720201130,,R14,RNAME10
195,P2,D78,DPT4127,DNAME559,2020-11-30,DPT412720201130,,R14,RNAME10
196,P2,D78,DPT4127,DNAME945,2020-11-30,DPT412720201130,,R14,RNAME10
197,P2,D78,DPT4127,DNAME983,2020-11-30,DPT412720201130,,R14,RNAME10
198,P2,D78,DPT4127,DNAME999,2020-11-30,DPT412720201130,,R14,RNAME10
199,P2,D78,DPT4127,DNAME1006,2020-11-30,DPT412720201130,,R14,RNAME10
200,P2,D326,DPT4098,DNAME935,2020-11-30,DPT409820201130,,R1,RNAME20
201,P2,D326,DPT4098,DNAME935,2020-11-30,DPT409820201130,,R1,RNAME20
202,P2,D341,DPT4090,DNAME1032,2020-11-30,DPT409020201130,,R5,RNAME8
203,P2,D233,DPT3411,DNAME609,2020-12-01,DPT341120201201,D348,R5,RNAME8
204,P2,D233,DPT3411,DNAME653,2020-12-01,DPT341120201201,D348,R5,RNAME8
205,P2,D233,DPT3411,DNAME965,2020-12-01,DPT341120201201,D348,R5,RNAME8
206,P2,D74,DPT3380,DNAME1189,2020-12-01,DPT338020201201,D344,R4,RNAME17
207,P2,D74,DPT3382,DNAME1189,2020-12-01,DPT338220201201,D344,R4,RNAME17
208,P2,D74,DPT3383,DNAME1189,2020-12-01,DPT338320201201,D344,R4,RNAME17
209,P2,D74,DPT3380,DNAME1195,2020-12-01,DPT338020201201,D344,R4,RNAME17
210,P2,D74,DPT3380,DNAME1216,2020-12-01,DPT338020201201,D344,R4,RNAME17
211,P2,D74,DPT3384,DNAME1219,2020-12-01,DPT338420201201,D344,R4,RNAME17
212,P2,D31,DPT3729,DNAME845,2020-12-01,DPT372920201201,,R14,RNAME10
213,P2,D341,DPT4128,DNAME1032,2020-12-01,DPT412820201201,,R2,RNAME9
214,P2,D26,DPT4294,DNAME707,2020-12-01,DPT429420201201,,R14,RNAME10
215,P2,D26,DPT4294,DNAME707,2020-12-01,DPT429420201201,,R14,RNAME10
216,P2,D26,DPT4294,DNAME707,2020-12-01,DPT429420201201,,R14,RNAME10
217,P2,D26,DPT4294,DNAME707,2020-12-01,DPT429420201201,,R14,RNAME10
218,P2,D26,DPT4298,DNAME712,2020-12-01,DPT429820201201,,R14,RNAME10
219,P2,D26,DPT4298,DNAME712,2020-12-01,DPT429820201201,,R14,RNAME10
220,P2,D26,DPT4298,DNAME712,2020-12-01,DPT429820201201,,R14,RNAME10
221,P2,D26,DPT4305,DNAME718,2020-12-01,DPT430520201201,,R14,RNAME10
222,P2,D26,DPT4305,DNAME718,2020-12-01,DPT430520201201,,R14,RNAME10
223,P2,D26,DPT4305,DNAME718,2020-12-01,DPT430520201201,,R14,RNAME10
224,P2,D26,DPT4473,DNAME1153,2020-12-01,DPT447320201201,,R14,RNAME10
225,P2,D26,DPT4473,DNAME1153,2020-12-01,DPT447320201201,,R14,RNAME10
226,P2,D26,DPT4473,DNAME1153,2020-12-01,DPT447320201201,,R14,RNAME10
227,P2,D26,DPT4556,DNAME1272,2020-12-01,DPT455620201201,,R14,RNAME10
228,P2,D26,DPT4556,DNAME1272,2020-12-01,DPT455620201201,,R14,RNAME10
229,P2,D26,DPT4556,DNAME1272,2020-12-01,DPT455620201201,,R14,RNAME10
230,P2,D26,DPT4567,DNAME1280,2020-12-01,DPT456720201201,,R14,RNAME10
231,P2,D26,DPT4567,DNAME1280,2020-12-01,DPT456720201201,,R14,RNAME10
232,P2,D26,DPT4567,DNAME1280,2020-12-01,DPT456720201201,,R14,RNAME10
233,P2,D26,DPT4577,DNAME1289,2020-12-01,DPT457720201201,,R14,RNAME10
234,P2,D26,DPT4577,DNAME1289,2020-12-01,DPT457720201201,,R14,RNAME10
235,P2,D26,DPT4577,DNAME1289,2020-12-01,DPT457720201201,,R14,RNAME10
236,P2,D287,DPT3732,DNAME693,2020-12-02,DPT373220201202,,R14,RNAME10
237,P2,D287,DPT3733,DNAME693,2020-12-02,DPT373320201202,,R14,RNAME10
238,P2,D287,DPT3734,DNAME695,2020-12-02,DPT373420201202,,R14,RNAME10
239,P2,D229,DPT3433,DNAME619,2020-12-03,DPT343320201203,D239,R14,RNAME10
